series_id,window_idx,window_start,window_end,timestamp_start,timestamp_end,attention_fingerprint,n_row_labels,n_token_labels,target_query_label,top_source_label,top_source_attention,time_attn_shape,group_attn_shape
load_26,31,744,768,2013-02-15 00:00:00,2013-02-15 23:00:00,d3fa12f5c4f13a39,71,14,target,known_future:temp,0.02778497338294983,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,32,768,792,2013-02-18 00:00:00,2013-02-18 23:00:00,53c30a40673bd450,71,14,target,target,0.02748158946633339,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,33,792,816,2013-02-19 00:00:00,2013-02-19 23:00:00,7664b65ef5e1e626,71,14,target,target,0.027685802429914474,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,34,816,840,2013-02-20 00:00:00,2013-02-20 23:00:00,24f14d2a44c732e6,71,14,target,target,0.029789835214614868,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,35,840,864,2013-02-21 00:00:00,2013-02-21 23:00:00,3602e215ad56ceeb,71,14,target,target,0.02796667255461216,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,36,864,888,2013-02-22 00:00:00,2013-02-22 23:00:00,cd737f0085a694c1,71,14,target,target,0.027678217738866806,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,37,888,912,2013-02-25 00:00:00,2013-02-25 23:00:00,d31291b8398c83bd,71,14,target,target,0.02641857974231243,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,38,912,936,2013-02-26 00:00:00,2013-02-26 23:00:00,b9cf945bc5c33cea,71,14,target,target,0.027812335640192032,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,39,936,960,2013-02-27 00:00:00,2013-02-27 23:00:00,c1cc4c8770b4624a,71,14,target,target,0.028935138136148453,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,40,960,984,2013-02-28 00:00:00,2013-02-28 23:00:00,c518c0da2315ef71,71,14,target,target,0.02708401530981064,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,41,984,1008,2013-03-04 00:00:00,2013-03-04 23:00:00,4404e76ad3e9e398,71,14,target,target,0.028347795829176903,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,42,1008,1032,2013-03-05 00:00:00,2013-03-05 23:00:00,d6c63fe214e8c32d,71,14,target,target,0.026303784921765327,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,43,1032,1056,2013-03-06 00:00:00,2013-03-06 23:00:00,31bca0cce4056c29,71,14,target,target,0.026934988796710968,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,44,1056,1080,2013-03-07 00:00:00,2013-03-07 23:00:00,8a4cd3f0265893e3,71,14,target,target,0.02806163765490055,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,45,1080,1104,2013-03-12 00:00:00,2013-03-12 23:00:00,3e204dbeff44ba7a,71,14,target,target,0.027634337544441223,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,46,1104,1128,2013-03-13 00:00:00,2013-03-13 23:00:00,db145096dbba9734,71,14,target,target,0.02752196043729782,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,47,1128,1152,2013-03-14 00:00:00,2013-03-14 23:00:00,0b812e4a13e019be,71,14,target,target,0.026352427899837494,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,48,1152,1176,2013-03-15 00:00:00,2013-03-15 23:00:00,0c96e0a3c88ed728,71,14,target,target,0.02583874948322773,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,49,1176,1200,2013-03-18 00:00:00,2013-03-18 23:00:00,cf4c5da89fd08c9f,71,14,target,known_future:apparent_temp,0.026001764461398125,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,50,1200,1224,2013-03-19 00:00:00,2013-03-19 23:00:00,49f6344ef103d726,71,14,target,target,0.02657904289662838,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,51,1224,1248,2013-03-20 00:00:00,2013-03-20 23:00:00,faec5aff936cb704,71,14,target,known_future:temp,0.02850346826016903,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,52,1248,1272,2013-03-21 00:00:00,2013-03-21 23:00:00,47ff5e1a5eba0d38,71,14,target,target,0.027360334992408752,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,53,1272,1296,2013-03-22 00:00:00,2013-03-22 23:00:00,76b74879c6a64971,71,14,target,target,0.027627309784293175,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,54,1296,1320,2013-03-25 00:00:00,2013-03-25 23:00:00,e36b60e26ae08e66,71,14,target,target,0.028199637308716774,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,55,1320,1344,2013-03-26 00:00:00,2013-03-26 23:00:00,bd82762af2e0a60b,71,14,target,target,0.02917897142469883,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
load_26,56,1344,1368,2013-03-27 00:00:00,2013-03-27 23:00:00,cfad4f79f865e660,71,14,target,target,0.028825554996728897,"(12, 71, 12, 14, 14)","(12, 14, 12, 71, 71)"
